Year;Quarter;Общая численность наёмных работников;работали на основе трудового договора (служебного контракта) в письменной форме ;работали на основе трудового договора (служебного контракта) в письменной форме постоянного ;работали на основе трудового договора (служебного контракта) в письменной форме временного или краткосрочного ;работали на основе устной договоренности с работодателем, без оформления документов;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе на временной или краткосрочной основе;работали на основе договора гражданско-правового характера;работали на основе трудового договора о выполнении работы на дому;работали на основе трудового договора о выполнении работы на дому с использованием сети «Интернет»  (дистанционная  работа);Source
2012;3;67085,8071;63495,93516;61206,77668;2289,158484;2760,991982;;;812,9733152;15,90663916;;ors_old_2010_2016
2012;4;66921,10088;63663,962;61582,85812;2081,103881;2440,503721;;;793,3161011;23,31906106;;ors_old_2010_2016
2013;1;66177,23616;62825,41532;60519,79109;2305,624237;2592,366216;;;736,5472746;22,90734654;;ors_old_2010_2016
2013;2;66166,43742;62750,74433;60561,41321;2189,331128;2699,182873;;;694,8312382;21,67897222;;ors_old_2010_2016
2013;3;66266,03311;62704,08144;60552,74253;2151,338906;2869,941387;;;669,2575075;22,75278051;;ors_old_2010_2016
2013;4;66177,61457;62755,51674;60533,75672;2221,760021;2647,90238;;;758,8299393;15,36550784;;ors_old_2010_2016
2014;1;65947,04014;62808,81297;60161,22961;2647,583365;2497,013867;;;598,1440046;26,42785945;16,64143435;ors_old_2010_2016
2014;2;66111,60652;62962,80099;60509,79212;2453,008867;2512,538391;;;584,5920971;28,44240006;23,23264096;ors_old_2010_2016
2014;3;66551,20687;63032,59995;60277,23799;2755,36196;2888,197275;;;579,7382028;32,20681906;18,4646196;ors_old_2010_2016
2014;4;66903,38831;63527,61053;60825,83809;2701,772443;2722,995192;;;599,3025659;26,54219582;26,93782294;ors_old_2010_2016
2015;1;66728,04028;63521,56883;60851,35242;2670,216416;2596,556789;;;576,3216151;27,78923628;5,803805375;ors_old_2010_2016
2015;2;66928,80486;63367,7149;60775,26029;2592,454604;2822,385943;;;701,3246489;30,94586373;6,433512454;ors_old_2010_2016
2015;3;67490,39338;64059,84156;61294,30035;2765,541214;2804,472094;;;594,6554987;24,66587725;6,758341393;ors_old_2010_2016
2015;4;67290,6597;64064,17556;61369,32958;2694,845978;2604,050922;;;594,3567252;25,16655528;2,909940525;ors_old_2010_2016
