Источник	Полное описание	Ссылка	Категория	Units	Комментарий
CA_04_2013	"Консолидированные счета, файл ""tab37.xls"" (11.04.2013)"	https://web.archive.org/web/20130514013457/http://www.gks.ru/free_doc/new_site/vvp/tab37.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_04_2014	"Консолидированные счета, файл ""tab37.xls"" (16.04.2014)"	https://web.archive.org/web/20140520014607/http://www.gks.ru/free_doc/new_site/vvp/tab37.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_06_2014	"Консолидированные счета, файл ""tab37.xls"" (02.06.2014)"	https://web.archive.org/web/20150317172935/http://www.gks.ru/free_doc/new_site/vvp/tab37.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_04_2015	"Консолидированные счета, файл ""tab37.xls"" (17.04.2015)"	https://web.archive.org/web/20150714015903/http://www.gks.ru/free_doc/new_site/vvp/tab37.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_08_2015	"Консолидированные счета, файл ""tab37.xls"" (13.08.2015)"	https://web.archive.org/web/20151028191405/http://www.gks.ru/free_doc/new_site/vvp/tab37.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_04_2016	"Консолидированные счета, файл ""tab37.xls"" (15.04.2016)"	https://web.archive.org/web/20160418123200/http://www.gks.ru/free_doc/new_site/vvp/tab37.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_07_2016	"Консолидированные счета, файл ""tab37.xls"" (29.07.2016)"	https://web.archive.org/web/20161121011813/http://www.gks.ru/free_doc/new_site/vvp/tab37.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_12_2016	"Консолидированные счета, файл ""tab37.xls"" (30.12.2016)"	https://web.archive.org/web/20170206101626/http://www.gks.ru/free_doc/new_site/vvp/tab37.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_04_2017	"Консолидированные счета, файл ""tab37.xls"" (14.04.2017)"	https://web.archive.org/web/20170712134405/http://www.gks.ru/free_doc/new_site/vvp/tab37.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_07_2017	"Консолидированные счета, файл ""tab37.xls"" (21.07.2017)"	https://web.archive.org/web/20180127195232/http://www.gks.ru/free_doc/new_site/vvp/tab37.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_04_2018	"Консолидированные счета, файл ""tab37.xls"" (16.04.2018)"	https://web.archive.org/web/20180613154022/http://www.gks.ru/free_doc/new_site/vvp/tab37.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_04_2019	"Консолидированные счета, файл ""tab37.xls"" (16.04.2019)"	https://web.archive.org/web/20190714033732/http://www.gks.ru/free_doc/new_site/vvp/tab37.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_07_2020	"Консолидированные счета, файл ""tab37.xls"" (31.07.2020)"	https://web.archive.org/web/20200821214834/https://rosstat.gov.ru/storage/mediabank/utXuUowO/tab37.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_07_2021	"Консолидированные счета, файл ""Consolidated-accounts.xls"" (30.07.2021)"	https://web.archive.org/web/20220403112740/https://rosstat.gov.ru/storage/mediabank/Consolidated-accounts.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_04_2022	"Консолидированные счета, файл ""Consolidated_accounts.xls"" (08.04.2022)"	https://web.archive.org/web/20220619172012/https://rosstat.gov.ru/storage/mediabank/Consolidated_accounts.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_08_2022	"Консолидированные счета, файл ""Consolidated_accounts_1995-2021_.xls"" (05.08.2022)"	https://web.archive.org/web/20230108214338/https://rosstat.gov.ru/storage/mediabank/Consolidated_accounts_1995-2021_.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_04_2023	"Консолидированные счета, файл ""Consolidated_accounts_1995-2022.xls"" (27.04.2023)"	https://web.archive.org/web/20230711150144/https://rosstat.gov.ru/storage/mediabank/Consolidated_accounts_1995-2022.xls	статистические материалы	"млн. руб.; млрд. руб."	
CA_08_2023	"Консолидированные счета, файл ""Consolidated_Accounts_1995-2022 (30.08.2023).xlsx"" (30.08.2023)"	см. Historical Records	статистические материалы	"млн. руб.; млрд. руб."	
CA_04_2024	"Консолидированные счета, файл ""Consolidated-accounts_1995-2023.xlsx"" (26.04.2024)"	https://web.archive.org/web/20240706175140/https://rosstat.gov.ru/storage/mediabank/Consolidated_accounts_1995-2023.xlsx	статистические материалы	"млн. руб.; млрд. руб."	
CA_08_2024	"Консолидированные счета, файл ""Consolidated-accounts_1995-2023.xls"" (30.08.2024)"	https://web.archive.org/web/20240831154641/https://rosstat.gov.ru/storage/mediabank/Consolidated-accounts_1995-2023.xls	статистические материалы	"млн. руб.; млрд. руб."	
NAs_08_2024	"Файл ""Показатели национальных счетов России в 2016-2023 гг."" (30.08.2024)"	https://web.archive.org/web/20241221132849/https://rosstat.gov.ru/storage/mediabank/naz-chet-tab2016-2023.rar	статистические материалы	млн. руб.	
NAs_08_2022	"Файл ""Показатели национальных счетов России в 2014-2021 гг."" (05.08.2022)"	https://web.archive.org/web/20230331183940/https://rosstat.gov.ru/storage/mediabank/naz-chet-tab2014-2021.rar	статистические материалы	млн. руб.	
NAs_07_2020	"Файл ""Показатели национальных счетов России в 2011-2019 гг."" (31.07.2020)"	https://web.archive.org/web/20230331184428/https://rosstat.gov.ru/storage/mediabank/Jar7T0xC/naz-chet-tab2011-2019_11841.rar	статистические материалы	млн. руб.	
NAs_08_2018	"Файл ""Показатели национальных счетов России в 2011-2017 гг."" (01.08.2018)"	https://web.archive.org/web/20241218122654/https://rosstat.gov.ru/storage/mediabank/GnyV943V/nac-sh-tab2011-2017[1]_11840.rar	статистические материалы	млн. руб.	
NAs_09_2016	"Файл ""Показатели национальных счетов России в 2011-2015 гг."" (08.09.2016)"	https://web.archive.org/web/20220927102801/https://rosstat.gov.ru/storage/mediabank/h8ueCHBM/nac-sh-tab2011-2015%5B1%5D_11842.rar	статистические материалы	млн. руб.	
GKS_1	"Ответ Росстата ""Росстат Данные_1999-2009 гг..xlsx"""	см. Ответы Росстата	ответ Росстата	тыс. человек	
GKS_2	"Ответ Росстата ""Росстат Статистическая информация.xlsx"""	см. Ответы Росстата	ответ Росстата	тыс. человек	
YEARBOOK_1997	Российский статистический ежегодник: Стат.сб./Госкомстат России. - М., 1997. - 749 с.		статистический сборник	млрд. руб.	
YEARBOOK_1999	Российский статистический ежегодник: Стат.сб./Госкомстат России. - М., 1999. - 621 с.		статистический сборник	"млн. руб.; млрд. руб."	
YEARBOOK_2000	Российский статистический ежегодник: Стат.сб./Госкомстат России. - М., 2000. - 642 с.		статистический сборник	"млн. руб.; млрд. руб."	
YEARBOOK_2001	Российский статистический ежегодник: Стат.сб./Госкомстат России. - M., 2001. - 679 c.		статистический сборник	"млн. руб.; млрд. руб."	
YEARBOOK_2002	Российский статистический ежегодник: Стат.сб./Госкомстат России. - M., 2002. - 690 c.		статистический сборник	"млн. руб.; млрд. руб."	
YEARBOOK_2003	Российский статистический ежегодник. 2003: Стат.сб./Госкомстат России. – М., 2003.  - 705 с.	https://web.archive.org/web/20241009134209/https://rosstat.gov.ru/storage/mediabank/year03.zip	статистический сборник	"млн. руб.; млрд. руб."	
YEARBOOK_2004	Российский статистический ежегодник. 2004: Стат.сб./Росстат. - М., 2004.  - 725 с.	https://web.archive.org/web/20241009134209/https://rosstat.gov.ru/storage/mediabank/year04.zip	статистический сборник	"млн. руб.; млрд. руб."	
YEARBOOK_2005	Российский статистический ежегодник. 2005: Стат.сб./Росстат. - М., 2005.  -  819 с.	https://web.archive.org/web/20241009134209/https://rosstat.gov.ru/storage/mediabank/year05.zip	статистический сборник	"млн. руб.; млрд. руб."	
YEARBOOK_2006	Российский статистический ежегодник. 2006: Стат.сб./Росстат. - М., 2006.  -  806 с.	https://web.archive.org/web/20241009134209/https://rosstat.gov.ru/storage/mediabank/year06.zip	статистический сборник	"млн. руб.; млрд. руб."	
YEARBOOK_2007	Российский статистический ежегодник. 2007: Стат.сб./Росстат. - М., 2007.  -  825 с.	https://web.archive.org/web/20241009134209/https://rosstat.gov.ru/storage/mediabank/year07.zip	статистический сборник	"млн. руб.; млрд. руб."	
YEARBOOK_2008	Российский статистический ежегодник. 2008: Стат.сб./Росстат. - М., 2008.  – 847 с.	https://web.archive.org/web/20241009134209/https://rosstat.gov.ru/storage/mediabank/year08.zip	статистический сборник	"млн. руб.; млрд. руб."	
