Year;Занятые;Безработные;Общее количество занятых в неформальном секторе;только в неформальном секторе;в неформальном и формальном секторах;с основной работой в неформальном секторе;с дополнительной работой в неформальном секторе;Занятые в неформальном секторе в % к общей численности занятых;Общая численность наёмных работников;работали на основе трудового договора (служебного контракта) в письменной форме ;работали на основе трудового договора (служебного контракта) в письменной форме постоянного ;работали на основе трудового договора (служебного контракта) в письменной форме временного или краткосрочного ;работали на основе устной договоренности с работодателем, без оформления документов;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе на временной или краткосрочной основе;работали на основе договора гражданско-правового характера;работали на основе трудового договора о выполнении работы на дому;работали на основе трудового договора о выполнении работы на дому с использованием сети «Интернет»  (дистанционная  работа);Общее число владельцев предприятий и индивидуально работающих, включая самозанятых.;без регистрации или оформления документов;с регистрацией предприятия в качестве юридического лица;с регистрацией предприятия в качестве инливид.предпринимател;регистрация деятельности в стадии оформления;с регистрацией в качестве самозанятого;Source
2004;67134;5775;;;;;;;62590;59252;55225;4027;2422;;;915;;;;;;;;;rab_sila_2006
1992;71068;3877;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2002
1993;68642;4305;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2002
1994;64785;5702;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2002
1995;64149;6712;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2002
1996;62928;6732;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2002
1997;60021;8058;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2002
1998;58437;8902;;;;;;;;;;;;;;;;;;;;;;;rab_sila_2002
1999;63082;9094;;;;;;;56906;55774;53775;1999;325;;;807;;;;;;;;;rab_sila_2002
2000;64465;6999;;;;;;;58476;57354;55474;1880;304;;;817;;;;;;;;;rab_sila_2002
2001;64664;6303;;;;;;;60126;58310;55724;2586;1328;;;489;;;;;;;;;rab_sila_2002
2010;69934;5544;;;;;;;;;;;;;;;;;;;;;;;trud_2023
2015;72324;4264;;;;;;;;;;;;;;;;;;;;;;;trud_2023
2019;71933;3465;;;;;;;;;;;;;;;;;;;;;;;trud_2023
2020;70601;4321;;;;;;;;;;;;;;;;;;;;;;;trud_2023
2021;71719;3631;;;;;;;;;;;;;;;;;;;;;;;trud_2023
2022;71974;2951;13385;12573;811;14;797;18,59699336;66989;63612;62346;1266;2043;1357;686;1335;;;;;;;;;trud_2023
2010;69934;5544;;;;;;;;;;;;;;;;;;;;;;;trud_2021
2015;72324;4264;;;;;;;;;;;;;;;;;;;;;;;trud_2021
2016;72393;4243;;;;;;;;;;;;;;;;;;;;;;;trud_2021
2017;72316;3969;;;;;;;67520;64285;61948;2337;2633;;;594;;8;;;;;;;trud_2021
2018;72532;3658;;;;;;;67577;64382;62281;2101;2559;;;630;;7;;;;;;;trud_2021
2019;71933;3465;;;;;;;67109;63602;61720;1882;2655;;;822;;30;;;;;;;trud_2021
2020;70601;4321;14122;13207;915;21;894;20,00254954;65833;62633;60925;1708;2246;;;901;;53;;;;;;;trud_2021
2017;72142;3967;;;;;;;67520;64262;61948;2314;2633;;;594;23;8;;;;;;;trud_2019
2018;72354;3657;14581;13662;920;18;902;20,15230671;67577;64353;62280;2073;2559;;;630;27;7;;;;;;;trud_2019
2005;68339;5242;;;;;;;63029;59539;55357;4182;2493;;;998;;;;;;;;;trud_2017
2010;69934;5544;;;;;;;65158;62213;59284;2929;2257;;;688;;;;;;;;;trud_2017
2014;71539;3889;;;;;;;66378;63132;60493;2639;2655;;;590;;;;;;;;;trud_2017
2015;72324;4264;;;;;;;67109;63786;61105;2681;2707;;;617;;;;;;;;;trud_2017
2016;72393;4243;;;;;;;66968;63846;61379;2467;2513;;;609;;;;;;;;;trud_2017
2005;68339;5242;;;;;;;63029;59539;55357;4182;2493;;;998;;;;;;;;;trud_2015
2010;69934;5544;;;;;;;65158;62213;59284;2929;2257;;;688;;;;;;;;;trud_2015
2011;70857;4922;;;;;;;65827;62851;60354;2497;2312;;;664;;;;;;;;;trud_2015
2012;71545;4131;;;;;;;66598;63320;60959;2361;2490;;;788;;;;;;;;;trud_2015
2013;71391;4137;;;;;;;66197;62780;60563;2217;2702;;;715;;;;;;;;;trud_2015
2014;71539;3889;;;;;;;66378;63132;60493;2639;2655;;;590;;;;;;;;;trud_2015
2010;69933,70846;5544,165584;11482,42912;10194,55256;1287,876567;18,05451128;1269,822055;0,016419019;65157,9204;62191,36648;59262,26984;2929,096638;2256,617244;;;688,2733835;21,66329762;;2781,080249;731,8216411;269,6518641;1717,228747;62,37799777;;ors_new_2010_2012
