Year;Quarter;Занятые;Безработные;Общее количество занятых в неформальном секторе;только в неформальном секторе;в неформальном и формальном секторах;с основной работой в неформальном секторе;с дополнительной работой в неформальном секторе;Занятые в неформальном секторе в % к общей численности занятых;Общая численность наёмных работников;работали на основе трудового договора (служебного контракта) в письменной форме ;работали на основе трудового договора (служебного контракта) в письменной форме постоянного ;работали на основе трудового договора (служебного контракта) в письменной форме временного или краткосрочного ;работали на основе устной договоренности с работодателем, без оформления документов;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе;работали на основе устной договоренности с работодателем, без оформления документов на постоянной основе на временной или краткосрочной основе;работали на основе договора гражданско-правового характера;работали на основе трудового договора о выполнении работы на дому;работали на основе трудового договора о выполнении работы на дому с использованием сети «Интернет»  (дистанционная  работа);Общее число владельцев предприятий и индивидуально работающих, включая самозанятых.;без регистрации или оформления документов;с регистрацией предприятия в качестве юридического лица;с регистрацией предприятия в качестве инливид.предпринимател;регистрация деятельности в стадии оформления;с регистрацией в качестве самозанятого;Source
2018;4;72568,78391;3654,454599;14515,78415;13606,93198;908,8521737;13,35246436;895,4997093;20,00279372;67745,8145;64612,32602;62348,59938;2263,726646;2460,752708;;;638,7506035;31,19699424;2,25134189;;;;;;;ORS_2018
2017;1;71723,87296;4211,073;13434,41668;12640,03959;794,3770848;18,47524047;775,9018443;18,7307463;67339,68228;64316,51422;61628,47264;2688,041571;2444,444717;;;547,0209526;25,63740625;6,064983416;;;;;;;ORS_2017
2017;2;72081,01997;3951,720047;14338,55078;13305,52568;1033,025102;15,20877486;1017,816327;19,89226954;67311,33885;64097,92983;61955,18841;2142,741422;2573,359148;;;603,0771298;24,59077407;12,38196365;;;;;;;ORS_2017
2017;3;72851,87942;3840,879341;15156,80993;14098,23607;1058,573862;18,40342385;1040,170438;20,80496763;67714,62294;64180,32289;61888,96653;2291,356361;2919,187489;;;592,6816509;16,80339711;5,627510341;;;;;;;ORS_2017
2017;4;72606,97137;3874,227548;14367,22828;13435,22798;932,0003045;13,37415751;918,6261469;19,78767054;67713,52515;64453,95453;62320,47382;2133,480712;2595,580478;;;632,0596984;25,31200437;6,618441457;;;;;;;ORS_2017
2015;1;71602,17668;4360,040511;13796,27361;12866,6243;929,6493132;33,48966646;896,1596468;19,26795281;66728,04028;63521,56883;60851,35242;2670,216416;2596,556789;;;576,3216151;27,78923628;5,803805375;;;;;;;ORS_2016
2015;2;72235,59585;4267,563519;15293,44721;13831,62809;1461,819121;24,13168891;1437,687432;21,17162188;66928,80486;63367,7149;60775,26029;2592,454604;2822,385943;;;701,3246489;30,94586373;6,433512454;;;;;;;ORS_2016
2015;3;73127,10585;4056,199081;15833,17567;14231,23756;1601,93811;20,32564356;1581,612466;21,65158252;67490,39338;64059,84156;61294,30035;2765,541214;2804,472094;;;594,6554987;24,66587725;6,758341393;;;;;;;ORS_2016
2015;4;72329,61175;4371,903263;14385,03396;13249,11514;1135,918819;18,18999655;1117,728823;19,88816698;67290,6597;64064,17556;61369,32958;2694,845978;2604,050922;;;594,3567252;25,16655528;2,909940525;;;;;;;ORS_2016
2016;1;71475,43173;4474,648778;14440,52433;13107,96835;1332,555986;25,63619009;1306,919796;20,20347969;66400,88628;63414,06605;61004,85843;2409,207619;2375,66623;;;579,0132982;24,11192814;8,028775014;;;;;;;ORS_2016
2016;2;72224,80979;4333,083802;15523,50956;14024,89071;1498,618853;18,18990305;1480,42895;21,4933201;66637,78949;63469,67885;61020,893;2448,785841;2511,737364;;;611,8758948;38,22338873;6,273996675;;;;;;;ORS_2016
2016;3;73237,44512;4059,74241;16302,94897;14530,24593;1772,70304;23,80871656;1748,894324;22,26040101;67381,90149;64066,14469;61495,96353;2570,181167;2672,869955;;;611,4660297;23,51020928;7,910603415;;;;;;;ORS_2016
2016;4;72632,82587;4106,492742;15212,46381;13709,77695;1502,686852;22,38894562;1480,297906;20,94433698;67452,87252;64304,23114;61863,07589;2441,155254;2492,024251;;;634,6113787;18,68095628;3,324787558;;;;;;;ORS_2016
2014;1;70834,92196;4144,376343;13612,34694;12633,68235;978,6645858;17,4058407;961,2587451;19,21699998;65947,04014;62808,81297;60161,22961;2647,583365;2497,013867;;;598,1440046;26,42785945;16,64143435;;;;;;;ORS_2015
2014;2;71495,56227;3791,571037;14632,95549;13333,47128;1299,484212;17,39379251;1282,090419;20,46694232;66111,60652;62962,80099;60509,79212;2453,008867;2512,538391;;;584,5920971;28,44240006;23,23264097;;;;;;;ORS_2015
2014;3;72160,90684;3693,995339;15201,84432;13532,68065;1669,163671;29,53803782;1639,625633;21,06659269;66551,20687;63032,59995;60277,23799;2755,36196;2888,197275;;;579,7382028;32,20681906;18,4646196;;;;;;;ORS_2015
2014;4;71664,78321;3927,552707;14099,10298;12866,80941;1232,293568;27,4694445;1204,824123;19,67368398;66903,38831;63527,61053;60825,83809;2701,772443;2722,995192;;;599,3025659;26,54219582;26,93782294;;;;;;;ORS_2015
2015;1;71602,17668;4360,040511;13796,27361;12866,6243;929,6493132;33,48966646;896,1596468;19,26795281;66728,04028;63521,56883;60851,35242;2670,216416;2596,556789;;;576,3216151;27,78923628;5,803805375;;;;;;;ORS_2015
2015;2;72235,59585;4267,563519;15293,44721;13831,62809;1461,819121;24,13168891;1437,687432;21,17162188;66928,80486;63367,7149;60775,26029;2592,454604;2822,385943;;;701,3246489;30,94586373;6,433512454;;;;;;;ORS_2015
2015;3;73127,10585;4056,199081;15833,17567;14231,23756;1601,93811;20,32564356;1581,612466;21,65158252;67490,39338;64059,84156;61294,30035;2765,541214;2804,472094;;;594,6554987;24,66587725;6,758341393;;;;;;;ORS_2015
